Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2017-01-02,1009.0841064453125,1014.9599426787429,1005.2593877606967,1011.3276075526222,823132
2017-01-03,1012.0327758789062,1013.5070559004915,1001.3708236599615,1009.0414407448823,1475324
2017-01-04,1016.8402099609375,1020.835820494216,1007.7807593197225,1012.6523201908101,1420066
2017-01-05,997.5673217773438,1021.3057195464819,991.5846525308017,1018.763105982596,2216404
2017-01-06,974.9188842773438,995.409614932201,964.5347607180515,991.8413374538532,3009896
2017-01-09,984.4482421875,987.6960187802558,964.491786999832,972.1837906179078,1854578
2017-01-10,989.4268798828125,995.6018294582223,979.234931920899,984.5766018528263,1533914
2017-01-11,993.2941284179688,995.5163464903944,974.4060051087588,989.2772345107135,1931296
2017-01-12,1001.8196411132812,1008.507370716956,984.5766873440112,993.2942516980697,2570374
2017-01-13,961.201416015625,1007.6311664782996,956.3084675246266,1003.379218339733,10235580
2017-01-16,965.1542358398438,971.7137434087876,952.0991746748819,961.5005130244543,3364808
2017-01-17,973.78662109375,977.6540117548902,962.6973329887767,963.5946711170366,3009956
2017-01-18,980.7735595703125,982.0127854964455,968.1030535043863,973.4661119934303,3136574
2017-01-19,979.0211791992188,980.7945717291793,975.5811231990781,980.7305134274146,2251676
2017-01-20,976.60693359375,982.867329416714,967.9106526647206,977.3119923374022,2037246
2017-01-23,988.5421142578125,991.4562924291849,968.4430421622753,970.6714944249422,2318546
2017-01-24,993.5347290039062,995.5274562756255,981.3852237930186,987.3849587856397,2282638
2017-01-25,1008.3841552734375,1011.3840231386794,993.4062645002548,995.3561995380795,4111648
2017-01-27,1010.44091796875,1019.4190702527111,1004.9768746074375,1004.9768746074375,2871658
2017-01-30,999.7702026367188,1007.9341496444749,993.4490525204724,1003.2415201446112,2577956
2017-01-31,955.5863647460938,999.4058569228201,942.8369281469974,994.2417784841581,4666804
2017-02-01,929.058837890625,959.9360636157852,923.7662777761375,951.3864629484856,4864152
2017-02-02,946.0939331054688,950.9580460797825,922.6735796348679,929.9804210585536,6009482
2017-02-03,956.7650756835938,961.2434291830358,938.9586952028674,946.9726074587784,2153372
2017-02-06,960.2787475585938,967.8855523200197,949.2220752053091,967.671276129557,2408910
2017-02-07,961.9288940429688,965.3573137246657,953.957776432197,961.6717207160152,1814638
2017-02-08,973.2210693359375,978.2137676618486,961.6930514196874,962.057258189999,2212584
2017-02-09,993.0845947265625,997.6700849303404,972.8997328584619,974.95680550538,4033202
2017-02-10,1027.6470947265625,1039.003732089634,990.3844885304962,990.3844885304962,5782160
2017-02-13,1034.63330078125,1040.9544527690405,1020.9625122313842,1026.812214423475,3819812
2017-02-14,1031.2042236328125,1036.9467840039883,1027.668666294643,1036.9467840039883,2033328
2017-02-15,1034.39697265625,1040.5252932909118,1017.8549117417805,1027.2401680470823,1924972
2017-02-16,1048.9891357421875,1061.9528458254074,1043.7822659397477,1054.2389026353922,4175680
2017-02-17,1031.9117431640625,1060.9248373086612,1029.3833247251935,1059.382006128509,2723324
2017-02-20,1072.3238525390625,1094.9514414122496,1031.9971322871584,1039.239626389317,3973948
