Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2017-01-02,562.4246215820312,568.5323153667443,560.0520518688045,568.2269192072304,1854328
2017-01-03,559.041748046875,564.7030741921883,557.0919733975155,564.162824252577,1923750
2017-01-04,556.974609375,560.028455820329,556.1759340144672,559.0183259104435,3483560
2017-01-05,557.3034057617188,561.2029553067451,555.8469675363467,558.618931653177,3388192
2017-01-06,560.8037109375,563.035368100378,558.2431435713659,559.1358179067944,2762630
2017-01-09,561.5319213867188,565.7368678639251,560.0989969369444,563.2467852639531,2286898
2017-01-10,570.5289916992188,571.6800913365206,561.5789066960593,562.0017011022269,2773058
2017-01-11,579.760986328125,581.687247178712,571.069269758376,572.0089147929434,4671702
2017-01-12,580.2308349609375,584.3182681047241,575.7675208458534,580.2308349609375,1458158
2017-01-13,579.0562133789062,582.4389123339562,577.2238942151803,582.1100595346571,1925206
2017-01-16,586.1741333007812,587.0197795049411,579.1972796973738,579.5261325515381,1882932
2017-01-17,581.8751831054688,588.4057275149181,580.8180824498472,585.8686744711501,1779806
2017-01-18,583.801513671875,590.0971475764877,582.9793241748536,583.0028382438951,2306444
2017-01-19,580.8416748046875,584.8821374960465,580.2308825141172,584.8821374960465,1756206
2017-01-20,580.8650512695312,584.9290274688076,577.8816897884606,580.7006248605993,6971034
2017-01-23,584.7645874023438,587.2781263126861,580.6066697383258,580.700611297984,2396924
2017-01-24,595.523681640625,597.3794580388433,586.9259048014353,587.278271764494,5130932
2017-01-25,606.3529663085938,608.70207903825,596.7216041170032,597.8961604818312,7818492
2017-01-27,606.9636840820312,610.7692347668414,605.1313649074551,610.2994122785592,3426118
2017-01-30,603.6984252929688,607.4570054601879,601.6312520821039,607.4570054601879,2659814
2017-01-31,604.4970703125,607.3394617408671,599.9632721731019,602.5003248882747,3050520
2017-02-01,613.447265625,615.4675254812555,601.6077605944638,604.2857261235615,5455332
2017-02-02,610.1585083007812,613.4472660729299,607.2926022839001,613.4472660729299,2985818
2017-02-03,615.9608154296875,618.286413878725,609.1248750712515,610.2994313286199,4002552
2017-02-06,617.3937377929688,620.1657020222837,616.1486966936329,616.5480917010389,2155110
2017-02-07,614.1286010742188,619.2261646314456,612.1553118140284,618.2865194650852,1705960
2017-02-08,613.423828125,619.5549780341196,609.9001589756028,614.3165024464578,2470480
2017-02-09,609.665283203125,620.1188356217709,607.269199512275,615.1856985253313,2232688
2017-02-10,612.460693359375,614.8802910753359,609.8296984265795,609.994124856494,1648368
2017-02-13,615.5614624023438,617.8166335108456,610.3934145174621,614.3164785657292,1397896
2017-02-14,615.9843139648438,617.3468107861706,612.6485854377219,617.3468107861706,1223030
2017-02-15,621.1992797851562,622.0449832164854,614.2693979857279,616.4071132779675,3063470
2017-02-16,623.8773803710938,626.273463924082,620.2832263659184,621.5752383882674,2521850
2017-02-17,646.9691772460938,683.1220001889938,639.1700768924004,678.8935971616892,201129980
2017-02-20,662.0269165039062,665.0102781034161,638.5593040372419,639.5224058142958,5283358
2017-02-21,665.057373046875,667.9937641585733,656.5300817882254,660.5940585570936,3130014
2017-02-22,657.3521728515625,666.5841965943913,655.3319131287215,664.7988481253049,2648388
2017-02-23,655.073486328125,667.7821496040488,651.6672734545971,659.5367997486098,17247490
2017-02-27,654.7446899414062,656.976347039358,647.6973517373483,653.4761920052299,2340688
2017-02-28,653.1002807617188,655.9897007617606,650.4692860910707,654.415806772734,1464004
2017-03-01,653.8285522460938,656.1071801052191,651.3619838998335,656.083666037558,1740868
2017-03-02,648.4019775390625,655.8721662611661,646.5931725049641,655.1909466221471,2300994
2017-03-03,646.9456787109375,650.4693479849622,643.1870981519778,650.4693479849622,1246412
2017-03-06,648.7074584960938,653.0063461171865,645.1133046702168,646.8516824425789,1839562
2017-03-07,651.2678833007812,651.8786754507629,646.5696586128479,649.4121074895978,1556438
2017-03-08,654.0868530273438,657.3756104844442,648.8483781017794,652.0666507145235,1891072
2017-03-09,655.0265502929688,657.1407516841256,649.1303119351279,649.1303119351279,1754658
2017-03-10,657.7984619140625,661.5100710843142,654.5332185236225,655.4023786666322,2930352
2017-03-14,662.7786254882812,669.0977729786945,660.8758786372294,668.1346138438552,3577510
2017-03-15,665.5505981445312,667.14800624949,662.7082061907073,662.8960893254448,2135930
2017-03-16,665.9029541015625,668.486978026948,664.1646336741293,666.2553210004787,2490054
2017-03-17,669.896484375,670.6717030677374,663.7887911071327,666.466814104645,1695232
2017-03-20,674.7120361328125,676.4738703912287,669.9433266030908,670.2722367421538,4071172
2017-03-21,676.99072265625,678.8935267617748,673.7254791532075,673.7254791532075,2778640
2017-03-22,672.2691650390625,675.1350714084443,669.8730812663463,670.7656983188979,2818272
2017-03-23,672.2691650390625,674.1954262151131,668.5105842657379,673.913544127392,2461236
2017-03-24,669.1917114257812,673.9369075247469,668.0876399467787,673.2556877944684,1905182
2017-03-27,662.37939453125,669.0273959259331,659.6544578069941,669.0273959259331,2932042
2017-03-28,667.241943359375,669.3561447735066,663.9062148206885,666.349326421182,4030700
2017-03-29,671.1884155273438,674.101349453351,667.1479534765645,667.523834419075,4287886
2017-03-30,688.853759765625,695.313819452032,669.5206088397745,670.9065623410326,17160546
2017-03-31,677.7425537109375,683.1219990573198,674.923618364071,683.0280574863123,4825696
2017-04-03,673.349609375,681.2896213937921,669.9669101883743,679.3633605416474,2074526
2017-04-05,672.9502563476562,679.5982562911572,670.6951427251643,674.3127530880631,2872040
2017-04-06,675.8397827148438,677.9539843291759,669.5206919414511,672.5510246481049,3062208
2017-04-07,676.0040893554688,678.8935091866427,671.1884087539718,672.3395082841814,2324180
2017-04-10,673.7959594726562,677.9538771867898,673.0912257125868,677.9538771867898,1696938
